Institution,Category,Region,State
Universiti UCYP (UCYP University),IPTS,East Coast,Pahang
Universiti UCSI (UCSI University) Kampus Terengganu,IPTS,East Coast,Terengganu
Kolej Universiti Islam Antarabangsa Sultan Ismail Petra (KIAS),IPTS,East Coast,Kelantan
Kolej Universiti Widad (Widad University College),IPTS,East Coast,Pahang
Kolej Universiti Bestari (University College Bestari),IPTS,East Coast,Terengganu
Kolej Universiti TATI,IPTS,East Coast,Terengganu
Politeknik Hulu Terengganu (PHT),TVET,East Coast,Terengganu
Institut Teknologi A.N.S Kota Bharu,IPTS,East Coast,Kelantan
Kolej UNITAR Kota Bharu (UNITAR College Kota Bharu),IPTS,East Coast,Kelantan
Kolej Uniti Kota Bharu,IPTS,East Coast,Kelantan
Kolej MSU Kota Bharu (MSU College Kota Bharu),IPTS,East Coast,Kelantan
Kolej Poly-Tech MARA Kota Bharu,IPTS,East Coast,Kelantan
Kolej Teknologi Darulnaim,IPTS,East Coast,Kelantan
Kolej UNITAR Kuantan (UNITAR College Kuantan),IPTS,East Coast,Pahang
Kolej Pacific Kuantan,IPTS,East Coast,Pahang
Kolej Poly-Tech MARA Cawangan Kuantan,IPTS,East Coast,Pahang
Kolej PSDC,IPTS,East Coast,Pahang
Kolej Widad (Widad College),IPTS,East Coast,Pahang
Kolej Yayasan Pahang (College of Yayasan Pahang),IPTS,East Coast,Pahang
Kolej Al-Quran Terengganu,IPTS,East Coast,Terengganu
Kolej Ketengah,IPTS,East Coast,Terengganu
Kolej UNITAR Kuala Terengganu (UNITAR College Kuala Terengganu),IPTS,East Coast,Terengganu
Kolej TESDEC,IPTS,East Coast,Terengganu
Kolej MSU Terengganu (MSU College Terengganu),IPTS,East Coast,Terengganu
RANACO Education and Training Institute (RETI),IPTS,East Coast,Terengganu
Kolej Yayasan Islam Terengganu,IPTS,East Coast,Terengganu
Universiti Teknologi MARA (UiTM) Raub,IPTA,East Coast,Pahang
Universiti Teknologi MARA (UiTM) Jengka,IPTA,East Coast,Pahang
Universiti Teknologi MARA (UiTM) Kuala Terengganu,IPTA,East Coast,Terengganu
Universiti Teknologi MARA (UiTM) Dungun,IPTA,East Coast,Terengganu
Universiti Teknologi MARA (UiTM) Kota Bharu,IPTA,East Coast,Kelantan
Universiti Teknologi MARA (UiTM) Machang,IPTA,East Coast,Kelantan
Universiti Malaysia Kelantan (UMK),IPTA,East Coast,Kelantan
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),IPTA,East Coast,Pahang
Universiti Malaysia Terengganu (UMT),IPTA,East Coast,Terengganu
Universiti Sultan Zainal Abidin (UniSZA),IPTA,East Coast,Terengganu
Politeknik Sultan Mizan Zainal Abidin (PSMZA),TVET,East Coast,Terengganu
Politeknik Sultan Haji Ahmad Shah (POLISAS),TVET,East Coast,Pahang
Politeknik Kuala Terengganu (PKT),TVET,East Coast,Terengganu
Politeknik Kota Bharu (PKB),TVET,East Coast,Kelantan
Politeknik Jeli Kelantan (PJK),TVET,East Coast,Kelantan
Kolej Kemahiran Tinggi MARA Kuantan,TVET,East Coast,Pahang
Kolej Kemahiran Tinggi MARA Pasir Mas,TVET,East Coast,Kelantan
Kolej Kemahiran Tinggi MARA Kemamaman,TVET,East Coast,Terengganu
Advanced Technology Training Centre JTM Kuantan,TVET,East Coast,Pahang
Advanced Technology Training Centre JTM Kuala Terengganu,TVET,East Coast,Terengganu
Advanced Technology Training Centre JTM Kota Bharu,TVET,East Coast,Kelantan
Institut Kemahiran MARA Tun Syed Ahmad Shah (TYSA),TVET,East Coast,Pahang
Institut Kemahiran MARA Besut,TVET,East Coast,Terengganu
Advanced Technology Training Centre JTM Kemaman,TVET,East Coast,Terengganu
Advanced Technology Training Centre JTM Jerantut,TVET,East Coast,Pahang
Politeknik Muadzam Shah (PMS),TVET,East Coast,Pahang
Politeknik Metro Kuantan (PMKU),TVET,East Coast,Pahang
Universiti Islam Antarabangsa Sultan Abdul Halim Mu’adzam Shah (UniSHAMS),IPTS,Northern,Kedah
Universiti AIMST (AIMST University),IPTS,Northern,Kedah
Universiti Antarabangsa Albukhary (Albukhary International University),IPTS,Northern,Kedah
Universiti Sultan Azlan Shah (USAS),IPTS,Northern,Perak
"Universiti Teknologi Petronas (UTP) Seri Iskandar, 32610 Tronoh, Perak",IPTS,Northern,Perak
Quest International University,IPTS,Northern,Perak
Universiti Tunku Abdul Rahman (UTAR),IPTS,Northern,Perak
Universiti Muhammadiyah Malaysia (UMAM),IPTS,Northern,Perlis
Universiti Islam Antarabangsa Tuanku Syed Sirajuddin (UniSIRAJ),IPTS,Northern,Perlis
Universiti Terbuka Wawasan (Wawasan Open University),IPTS,Northern,Pulau Pinang
Royal College of Surgeons In Ireland And University College Dublin Malaysia Campus,IPTS,Northern,Pulau Pinang
UOW Malaysia KDU Penang University College,IPTS,Northern,Pulau Pinang
Kolej Universiti Asia Kepimpinan Wanita (Asian Women’s Leadership University College),IPTS,Northern,Pulau Pinang
Kolej Universiti Teknologi Antarabangsa Twintech (Twintech International University College of Technology),IPTS,Northern,Pulau Pinang
Kolej Universiti Komunikasi Han Chiang (Han Chiang University College Of Communication),IPTS,Northern,Pulau Pinang
Institut Teknologi ANS,IPTS,Northern,Kedah
Kolej UNITAR Sungai Petani (UNITAR College Sungai Petani),IPTS,Northern,Kedah
Kolej Meritus (Meritus College),IPTS,Northern,Kedah
Kolej Poly-Tech Mara Alor Setar,IPTS,Northern,Kedah
Kolej MSU Sg Petani (MSU College Sg Petani),IPTS,Northern,Kedah
Kolej Antarabangsa KOMPAS,IPTS,Northern,Perak
Kolej Antarabangsa TAJ (TAJ International College),IPTS,Northern,Perak
Kolej UNITAR Ipoh (UNITAR College Ipoh),IPTS,Northern,Perak
Kolej FELCRA (FELCRA College),IPTS,Northern,Perak
Kolej Keris ( Keris College),IPTS,Northern,Perak
Kolej Lake View (Lake View College),IPTS,Northern,Perak
Kolej Raudhah Bukit Merah,IPTS,Northern,Perak
Kolej PIA (PIA College),IPTS,Northern,Perak
Kolej Poly-Tech Mara Ipoh,IPTS,Northern,Perak
Kolej Sunway Ipoh (Sunway College Ipoh),IPTS,Northern,Perak
Sekolah Kejururawatan Hospital Fatimah,IPTS,Northern,Perak
Kolej MSU Ipoh (MSU College Ipoh),IPTS,Northern,Perak
Institut Pengajian Tinggi Islam Perlis (IPTIP),IPTS,Northern,Perlis
Advance Tertiary College Penang,IPTS,Northern,Pulau Pinang
